Age,Income,Loan_Amount,Credit_Score,Employment_Type,Loan_Approved
48,133374,228686,828,,1
22,86358,272500,793,Self-Employed,1
26,,403299,497,Self-Employed,0
48,67057,312425,876,Salaried,0
48,26150,208492,816,Self-Employed,0
40,24425,220102,813,Self-Employed,0
50,143654,444274,321,Salaried,0
31,36032,267285,411,Unemployed,1
48,22198,388404,356,Unemployed,0
45,80500,209476,365,Self-Employed,0
59,73394,284554,397,Self-Employed,0
53,40079,210928,443,Salaried,0
21,56220,190272,734,Unemployed,0
47,61874,376322,385,Self-Employed,1
33,33859,346141,887,Self-Employed,0
23,70460,468827,643,Unemployed,1
59,51419,169273,593,Salaried,0
26,138865,222307,870,Unemployed,1
28,28705,298500,542,Salaried,0
47,62880,216129,860,Salaried,1
29,149838,182311,331,Salaried,0
57,43236,284746,690,Unemployed,0
53,107955,295546,576,Unemployed,0
44,105514,246733,831,Self-Employed,1
35,123145,176945,453,Self-Employed,0
52,35358,95272,682,Self-Employed,0
52,119713,401537,367,Unemployed,0
44,,373356,513,Salaried,0
32,122870,196470,675,Salaried,1
59,96918,170030,512,Salaried,0
22,139179,368647,378,Self-Employed,0
23,136243,449854,680,Self-Employed,1
57,34596,56570,357,Salaried,1
37,53572,380929,325,Salaried,0
22,98757,59110,746,Unemployed,0
22,21279,129141,365,Salaried,0
48,83197,62115,553,,0
43,131496,89062,343,Unemployed,0
57,82516,335055,396,Salaried,1
52,27083,154061,853,Salaried,0
53,140674,344700,526,Self-Employed,0
21,140307,440479,735,Unemployed,0
39,146457,51969,678,Self-Employed,1
22,129397,355897,477,Unemployed,0
46,37771,447686,726,Salaried,0
52,49975,171863,606,Self-Employed,0
26,65648,322369,803,Self-Employed,1
52,145641,173008,567,Unemployed,1
24,68285,204268,885,Salaried,1
31,39063,155823,307,Unemployed,0
37,87642,325813,807,Self-Employed,1
58,110093,480596,775,Salaried,1
44,,436542,596,Salaried,0
25,106143,160677,463,Unemployed,0
54,57599,296958,784,Salaried,1
26,71920,98320,896,Salaried,1
42,48529,490630,371,Salaried,0
31,55954,196649,866,Unemployed,0
36,47856,175354,858,Self-Employed,0
53,22573,138009,537,,0
29,98344,307437,403,Salaried,0
26,55367,498625,509,Self-Employed,0
36,122337,78625,853,Self-Employed,1
49,126732,262112,767,Unemployed,0
23,119608,336233,753,Unemployed,0
40,80774,86487,567,Salaried,0
56,43752,278071,685,Self-Employed,0
39,75029,422592,686,Salaried,1
46,37685,362282,558,Self-Employed,0
23,71693,223895,582,Salaried,1
39,136739,480424,339,Salaried,0
40,75961,366205,785,Salaried,1
52,126937,473875,519,Self-Employed,0
27,144956,151376,428,Salaried,0
53,96908,475106,819,Self-Employed,1
59,145537,391278,559,Salaried,0
38,146678,359199,665,Salaried,1
21,94532,293341,843,Self-Employed,1
31,,331652,823,Salaried,1
48,76133,485503,315,Salaried,0
45,117425,208056,428,Self-Employed,0
43,145055,160169,874,Salaried,1
51,81268,320269,408,Salaried,0
50,112201,86059,832,Salaried,1
55,58243,153409,568,Unemployed,0
27,77384,460303,461,Self-Employed,0
36,51653,55704,559,,0
46,46657,254456,401,Self-Employed,1
22,59952,268200,805,Salaried,1
21,42180,161279,870,Salaried,0
32,117432,208280,546,Self-Employed,0
25,141829,168516,836,Salaried,1
57,148377,247096,430,Salaried,0
52,98411,483098,652,Salaried,1
29,21622,469139,495,Salaried,0
55,68756,426188,681,Unemployed,0
39,60809,282549,526,Salaried,0
36,36725,79165,775,,0
23,81396,117203,776,Salaried,0
40,71226,316258,564,Unemployed,0
44,126296,86321,671,Salaried,1
53,101182,385441,785,Salaried,1
44,102565,408796,733,Self-Employed,1
31,49402,411448,510,Self-Employed,0
28,24263,295014,871,Salaried,0
56,143489,206498,676,Salaried,1
58,116523,67772,694,Salaried,1
40,66828,415898,749,Salaried,0
55,,315856,663,Salaried,1
45,67924,444583,756,Salaried,0
55,94182,288389,525,Salaried,0
45,113065,165142,430,Salaried,0
49,79052,141736,887,Self-Employed,1
38,,101924,775,Unemployed,0
38,55737,53726,576,Self-Employed,0
22,121332,401296,455,Salaried,0
55,109563,77723,517,Salaried,1
36,49373,439113,489,Unemployed,0
56,137369,284182,716,Salaried,1
53,56397,412638,845,Salaried,0
24,148575,190180,340,Self-Employed,0
53,106145,258786,606,Self-Employed,0
34,121371,85643,637,Self-Employed,0
41,58709,212396,613,Salaried,0
40,136074,416040,374,Salaried,0
28,81120,264432,578,Unemployed,1
27,39250,189999,475,Salaried,0
23,41172,405824,572,Self-Employed,0
37,31555,408690,588,Self-Employed,0
53,107410,465659,571,Self-Employed,0
32,98617,129973,365,Salaried,0
42,73276,375593,782,,1
42,77492,159834,547,Self-Employed,0
50,73002,286386,455,Unemployed,0
58,140103,337681,346,Unemployed,0
58,144938,389720,753,Salaried,1
28,109599,157522,500,Salaried,1
47,92355,72612,423,Unemployed,0
47,111248,275049,300,Self-Employed,1
54,44762,318615,490,Unemployed,0
41,31046,216703,878,Salaried,0
50,116999,290069,815,Self-Employed,0
53,144130,273131,741,Self-Employed,1
48,136021,81348,442,Self-Employed,0
53,48769,245804,490,Salaried,0
25,,313321,832,Salaried,1
39,43150,185832,526,Self-Employed,1
24,88247,344923,612,Salaried,0
55,24853,333780,601,Salaried,0
37,114613,131889,759,Unemployed,0
48,140900,103551,700,Salaried,1
50,109399,454772,850,Unemployed,0
49,41792,470814,692,Salaried,0
26,79129,192635,506,Self-Employed,0
55,126019,96819,509,Unemployed,0
57,94478,385914,414,Salaried,0
44,133811,470182,550,Salaried,0
49,134130,262781,518,Salaried,0
51,87298,208059,706,Salaried,1
55,51987,390858,742,Self-Employed,0
53,35850,239420,653,Unemployed,0
41,32112,74596,857,Salaried,0
52,141789,476390,849,Salaried,1
43,44058,376250,441,Salaried,0
53,65420,109182,800,Self-Employed,1
23,58890,399307,846,Salaried,1
38,86017,351454,841,Self-Employed,1
45,67304,368232,806,Self-Employed,1
51,52921,178803,895,Self-Employed,1
23,125921,189978,580,Salaried,0
44,21524,349058,723,Self-Employed,0
52,120424,422494,569,Salaried,0
42,35048,95379,453,,0
43,,295900,382,Unemployed,0
22,57904,308517,725,Self-Employed,1
47,74912,480866,574,Salaried,0
22,54008,490097,583,Salaried,0
46,20060,358557,472,,0
37,94666,187084,626,Salaried,0
53,103559,231187,362,Salaried,0
29,75337,319295,372,,0
59,130616,107716,674,Salaried,1
49,33350,405891,807,Self-Employed,1
46,44354,273725,697,Self-Employed,0
55,65186,217450,419,Self-Employed,0
45,48145,223724,736,Salaried,0
44,54020,253502,764,Unemployed,0
33,,194539,585,Unemployed,0
27,126667,474226,564,Unemployed,0
56,95186,171999,619,Unemployed,0
40,105469,164793,675,Unemployed,0
21,40581,497907,388,Self-Employed,0
28,108929,420321,502,,0
36,43051,62289,633,Self-Employed,1
34,71474,226048,521,Self-Employed,0
32,111748,224668,340,,0
43,145995,466387,367,Self-Employed,0
35,134618,281513,813,Salaried,1
48,89626,307368,897,Salaried,1
54,26960,136365,426,Unemployed,0
22,55772,280662,554,Self-Employed,0
52,41520,426158,315,Self-Employed,0
43,69481,225211,776,Salaried,1
42,56408,229785,361,Salaried,0
45,114006,472950,731,Unemployed,0
42,148496,122588,567,Self-Employed,0
42,77134,113646,334,Self-Employed,0
26,40491,315798,875,Salaried,0
35,21341,330887,793,Self-Employed,0
57,64623,360512,861,Salaried,1
53,110327,271097,768,Self-Employed,1
28,20338,255244,624,Salaried,0
25,91431,449657,603,Salaried,0
59,32254,169735,575,Self-Employed,1
24,71860,205683,500,Unemployed,0
26,31344,432035,744,Salaried,0
52,21750,157971,623,Unemployed,1
50,,62149,334,Salaried,0
55,87957,412246,781,Salaried,1
36,125423,371333,779,Salaried,1
33,78053,288976,364,Salaried,0
50,90855,464891,307,Self-Employed,0
39,35896,383175,600,Salaried,0
37,,92668,642,Salaried,0
39,82552,456889,730,Unemployed,1
48,140075,138204,723,Salaried,1
46,97454,261830,631,Self-Employed,0
57,146522,246501,737,Salaried,1
46,138681,466885,887,Self-Employed,1
43,110600,215140,473,Salaried,0
29,142732,269861,858,Salaried,1
32,132153,190507,826,Salaried,1
21,142926,275160,325,Salaried,0
21,47935,233321,705,Salaried,0
54,57641,87384,531,,0
52,49711,131929,832,Unemployed,0
45,90342,440103,849,Unemployed,0
21,126896,126153,804,Self-Employed,1
36,32182,285128,478,Salaried,0
59,107833,125388,431,Salaried,0
25,76276,81401,754,Salaried,1
42,39541,252903,647,Salaried,0
49,114457,169503,839,Self-Employed,1
23,102310,282601,705,Self-Employed,0
32,64813,177834,375,Salaried,0
46,57198,84084,878,Salaried,1
36,28820,301459,791,Unemployed,0
57,44070,160641,493,Self-Employed,0
42,89768,155111,461,Salaried,0
49,31122,499042,646,Unemployed,0
34,100559,479667,660,Unemployed,0
48,93543,188299,883,Salaried,0
25,103441,212982,386,Salaried,0
50,61786,348185,561,Self-Employed,0
25,114934,401064,513,Unemployed,0
32,119804,377825,872,Unemployed,1
36,26737,284386,561,Salaried,0
46,56062,393715,582,Salaried,0
46,,246553,766,Self-Employed,1
41,71571,310337,679,Self-Employed,0
59,,177556,661,Salaried,0
56,,245246,748,Unemployed,0
53,57265,76160,740,Self-Employed,1
50,37850,296242,392,Unemployed,0
57,138249,67633,723,Unemployed,0
43,86150,329158,441,Self-Employed,0
30,107312,392676,590,Salaried,0
25,109613,99104,731,Self-Employed,0
56,94910,484837,348,Salaried,0
54,72375,389375,601,Self-Employed,0
51,141826,118388,489,Salaried,0
30,,66014,435,Self-Employed,0
39,116443,142578,854,Salaried,1
52,77132,214827,703,Salaried,1
21,98945,90390,640,Salaried,0
25,102050,335855,617,Salaried,0
24,149828,141658,662,Self-Employed,1
36,115402,107993,681,Self-Employed,1
44,22983,255768,532,Self-Employed,0
36,117241,208285,643,Salaried,0
22,40662,296860,848,Salaried,0
48,,319565,852,Salaried,0
52,98187,268008,828,Salaried,1
47,60998,67727,870,Unemployed,0
40,,424562,482,Salaried,0
44,114071,54358,340,,0
32,26640,377252,850,Salaried,0
55,64547,307681,696,Salaried,1
53,74620,144018,793,Self-Employed,1
53,35317,436601,632,Self-Employed,1
57,135608,475333,426,Salaried,0
32,27564,344054,857,,0
23,47345,176888,856,Salaried,0
21,133824,279104,300,Salaried,0
53,114223,367898,467,Salaried,0
30,143372,243510,318,Unemployed,0
49,99273,159847,631,Self-Employed,0
33,94859,472587,883,Self-Employed,0
32,100765,494717,755,Salaried,1
51,130017,350611,408,,0
22,94038,460841,567,Self-Employed,0
55,,346037,744,,1
43,72393,126329,539,Self-Employed,0
37,86081,81007,600,Salaried,0
46,145341,220604,402,Self-Employed,0
28,122650,366397,549,Salaried,0
49,49430,62323,752,Unemployed,0
46,95532,423479,819,,1
30,47788,162356,452,Self-Employed,0
46,115505,160944,473,Salaried,0
54,68543,254451,642,Self-Employed,1
27,33919,457426,730,Salaried,0
24,89346,328600,623,Salaried,0
31,116122,81367,719,Salaried,0
49,59974,104624,893,Self-Employed,1
56,127309,453322,784,Salaried,1
45,36371,284565,711,Salaried,0
41,65084,118008,383,Unemployed,0
56,49629,438070,412,Salaried,0
30,71184,427539,631,Self-Employed,0
57,81916,166492,677,Salaried,1
29,147293,122240,340,,0
44,93972,376459,404,Self-Employed,0
55,82187,251659,501,Salaried,0
55,32984,322900,749,Salaried,1
56,53039,348522,565,Self-Employed,0
38,105431,185327,509,Self-Employed,0
59,103691,457700,862,Self-Employed,1
52,78606,175703,417,Salaried,0
44,30616,368693,676,Salaried,0
43,122665,215575,850,Self-Employed,1
52,125373,385938,839,Self-Employed,1
57,,357257,383,Unemployed,0
32,44574,124069,753,Unemployed,0
33,23430,279189,813,,0
43,139123,448465,686,Salaried,1
45,32676,301051,649,Salaried,0
55,30816,462417,595,Self-Employed,0
50,52733,175541,557,Salaried,0
37,105680,239648,380,Salaried,0
40,,306353,567,Unemployed,0
45,129996,321830,718,Unemployed,1
42,53933,365507,534,Salaried,0
33,44951,409687,610,Salaried,0
39,52413,181733,656,Salaried,1
56,54801,225915,512,Unemployed,0
32,75619,145673,873,Unemployed,1
39,52913,92828,348,Salaried,0
32,132573,360748,426,Salaried,0
29,139076,322670,522,Unemployed,0
27,,381054,578,Salaried,1
48,77775,75592,707,Self-Employed,1
34,110816,341126,804,Unemployed,0
51,149972,312351,593,Salaried,0
39,110093,282041,576,Self-Employed,0
36,132590,400877,737,,1
25,55400,280008,406,Salaried,0
55,24494,174982,719,Unemployed,0
32,100688,306911,728,Salaried,1
45,142744,118619,674,Unemployed,0
41,109431,210400,372,Self-Employed,0
56,94691,358623,329,Salaried,1
43,117419,201175,487,Salaried,0
36,128730,220963,663,Salaried,1
59,63001,191826,750,Salaried,1
59,87364,281055,494,Salaried,0
34,144988,393581,455,Salaried,1
51,65028,148540,471,Salaried,0
25,127434,385126,340,Self-Employed,0
55,117659,152747,362,Self-Employed,0
43,57573,236994,322,Self-Employed,0
49,20806,360375,659,Salaried,0
31,144343,79301,374,Salaried,0
38,76638,272724,859,Self-Employed,1
32,148301,243783,417,Salaried,1
29,146295,222395,679,Salaried,1
30,126506,68752,589,Unemployed,1
37,49757,263277,739,Self-Employed,0
58,54636,410596,306,Self-Employed,0
27,100097,194467,495,Salaried,0
33,68280,267029,720,Self-Employed,1
29,44262,433381,867,Self-Employed,0
47,100435,106273,492,Self-Employed,0
22,82211,308503,858,Self-Employed,0
25,,141878,447,Unemployed,0
49,148583,317039,501,Self-Employed,0
57,76979,169968,743,Salaried,1
58,134524,427844,718,Self-Employed,1
39,101470,126559,726,Self-Employed,1
28,58197,60699,778,Self-Employed,1
21,61844,246133,774,Salaried,1
42,,59715,425,Salaried,0
37,121868,69169,694,Unemployed,1
27,54157,168413,875,Self-Employed,1
45,97129,459379,624,Unemployed,0
24,60042,169264,691,Self-Employed,1
56,81665,317926,739,Self-Employed,1
26,135512,269249,503,Self-Employed,0
51,136953,174481,785,Unemployed,0
39,102856,265400,330,Self-Employed,0
59,47376,85585,687,Self-Employed,1
47,129049,342826,733,Salaried,1
30,75554,228936,675,Salaried,1
46,34199,442136,643,Self-Employed,0
39,138533,396560,742,Salaried,0
59,101412,498330,878,Salaried,1
23,70948,439954,374,Salaried,0
33,93781,88067,856,Salaried,1
48,92750,223757,454,Salaried,1
40,86262,303334,729,Salaried,1
48,137424,68073,662,Unemployed,0
28,66600,86035,747,Self-Employed,1
59,96898,246049,533,Salaried,0
21,82483,283782,862,Salaried,1
23,38297,140373,561,,0
33,50448,395506,424,Salaried,0
48,46172,140517,544,Unemployed,0
45,62874,115450,841,,1
53,27657,60382,784,Self-Employed,0
58,104386,447653,421,Salaried,0
26,145617,252043,424,Self-Employed,0
52,45425,271427,848,Salaried,0
41,,111929,469,Unemployed,1
36,142000,283483,423,Self-Employed,0
41,132855,278590,334,Salaried,0
31,44578,411008,386,Salaried,0
57,48831,193401,500,Salaried,1
56,27906,306677,668,Self-Employed,0
55,81413,337313,376,Salaried,0
39,74028,137468,358,Self-Employed,0
40,27287,84594,730,Salaried,0
38,53660,241703,799,Self-Employed,1
34,95758,95033,408,Unemployed,0
35,80504,113133,577,Self-Employed,0
51,79720,123861,367,Self-Employed,0
21,122979,233362,368,Salaried,0
23,54701,343894,464,Salaried,0
36,103300,90461,788,Self-Employed,1
43,130177,128222,604,Salaried,1
31,37674,162020,664,Salaried,0
32,103560,336370,678,Salaried,1
30,131543,318865,642,Salaried,0
52,43874,499370,853,Salaried,0
36,63642,70609,653,Unemployed,0
28,143867,495346,715,Salaried,1
58,,180513,408,Self-Employed,0
32,85160,253981,862,Salaried,1
44,37602,154211,796,,0
48,123320,236321,640,Salaried,0
28,108801,492111,682,Unemployed,0
48,45931,448872,832,Unemployed,0
56,114377,437009,599,Salaried,0
46,49192,386664,438,Unemployed,0
28,66542,376453,658,Unemployed,0
48,147015,79984,798,Unemployed,0
48,62520,168947,684,Unemployed,0
57,84772,254894,579,Salaried,0
56,78762,55901,782,Self-Employed,1
47,70106,212624,410,Salaried,0
37,101121,272317,438,Salaried,0
29,,343199,734,Unemployed,0
53,125595,218757,808,Salaried,1
40,53742,195788,572,Self-Employed,0
33,89669,164099,398,Unemployed,0
48,100199,61138,403,Unemployed,0
49,41754,216370,513,Unemployed,0
33,23972,494328,464,Salaried,0
55,,73429,819,Salaried,1
26,132217,100200,583,Salaried,0
38,61873,252380,816,Salaried,1
25,,491460,463,Salaried,0
45,126532,298289,363,Salaried,0
22,146267,295127,390,Self-Employed,0
30,29903,413412,416,Self-Employed,0
50,23020,286513,566,Salaried,0
25,61755,67347,858,Self-Employed,1
53,105956,197992,439,Salaried,0
21,106988,81822,545,Salaried,0
38,65648,489875,694,Self-Employed,0
52,123537,90108,786,Self-Employed,1
31,145991,441099,775,Self-Employed,1
41,29516,57967,816,Salaried,0
46,132863,422863,483,Unemployed,0
45,135005,61871,319,Self-Employed,0
42,22396,275371,857,Self-Employed,0
47,104082,258524,823,Self-Employed,1
33,39129,255342,881,Unemployed,0
53,148322,214685,828,Self-Employed,1
54,21591,78179,446,Self-Employed,0
55,31303,301537,603,Unemployed,0
21,50561,233260,881,Self-Employed,1
41,91719,367243,527,Salaried,0
26,138618,85262,401,Self-Employed,0
48,112108,390357,886,Salaried,1
37,148748,429551,716,Salaried,1
25,119616,461484,515,Self-Employed,0
51,,398413,706,Unemployed,0
25,106231,110545,698,Unemployed,0
58,27314,284555,798,Salaried,0
23,137071,273894,764,Self-Employed,1
43,39623,253218,381,Salaried,0
57,87675,352066,664,Unemployed,0
57,132992,92913,462,Unemployed,0
30,116826,409177,347,Self-Employed,0
30,85082,416936,810,Unemployed,0
39,149839,300497,628,Self-Employed,1
37,103624,498893,415,Self-Employed,0
41,125228,493057,636,Salaried,0
34,53130,227404,446,Salaried,0
29,71756,432007,874,Self-Employed,1
21,117624,206104,622,Self-Employed,0
33,46292,218918,742,Salaried,0
24,131785,240546,312,Unemployed,0
21,147331,94936,793,Salaried,1
52,106206,210866,586,Self-Employed,1
54,89274,242660,413,Self-Employed,0
48,22469,252056,779,Self-Employed,0
51,73947,493547,321,Self-Employed,0
28,42534,275469,648,Salaried,0
59,83620,78141,865,Salaried,1
46,68874,452290,619,Self-Employed,0
54,69708,187478,425,Self-Employed,0
23,94553,147359,576,Salaried,0
32,88344,435423,503,Self-Employed,1
21,69138,204363,493,Salaried,0
25,74302,91568,846,Self-Employed,1
50,67638,147539,585,Unemployed,1
50,98249,96851,356,Salaried,0
37,125865,104823,602,Salaried,0
43,22719,73312,462,,0
35,42890,486324,318,Self-Employed,0
57,97236,477387,669,Self-Employed,1
41,56509,484995,563,Unemployed,0
34,62534,249900,412,Unemployed,0
22,122302,410867,787,Unemployed,0
31,112241,324555,626,Self-Employed,0
59,38787,299062,841,Salaried,0
58,146209,369153,878,Salaried,1
54,68845,458638,364,Salaried,0
58,77932,485684,591,Self-Employed,0
54,112124,82371,324,Salaried,0
38,,107022,848,Unemployed,0
50,53062,383373,300,Self-Employed,0
35,95713,149071,848,Self-Employed,0
47,107263,232268,440,,0
54,115756,408918,487,Salaried,1
58,80461,338859,427,Salaried,0
53,95418,339749,500,Salaried,0
44,86672,149853,426,Salaried,0
35,148232,81174,556,Self-Employed,0
50,54832,453172,846,Unemployed,0
37,147335,126373,493,Unemployed,0
25,51966,381396,403,Self-Employed,0
49,92545,243021,834,Salaried,1
24,32987,243718,564,Unemployed,0
30,57311,120017,683,Unemployed,0
37,51575,113037,559,Salaried,1
30,83852,139818,713,Self-Employed,1
37,147650,56548,657,Salaried,1
40,21007,166981,374,Unemployed,1
44,90981,284213,654,,0
25,96242,254366,883,Salaried,0
54,67517,204249,487,Unemployed,0
26,130022,336166,589,Self-Employed,1
22,49257,156297,344,Unemployed,0
33,107272,186614,872,Salaried,1
31,62207,272084,382,Unemployed,0
43,33281,110428,422,Salaried,0
36,81246,203812,657,,0
51,21435,371497,827,Salaried,0
31,118875,163132,365,Unemployed,0
36,120686,237604,674,Unemployed,0
28,111357,66052,461,Unemployed,1
24,46660,150689,679,Unemployed,0
24,25084,228148,657,Salaried,0
45,102197,496636,487,Salaried,1
23,33507,181743,621,Salaried,1
52,92595,312307,749,,1
23,103807,353568,773,Salaried,1
47,65539,496960,312,Salaried,0
49,135953,453850,483,Salaried,0
52,27491,185870,410,Salaried,0
39,147706,334564,807,Salaried,1
41,132831,170575,589,Salaried,0
25,70192,308230,594,,0
38,100395,341444,750,Self-Employed,1
48,143797,402025,514,Unemployed,0
42,83888,60749,866,Salaried,1
41,93609,154131,326,Salaried,0
26,29077,206193,530,Self-Employed,0
21,137440,440707,864,Salaried,1
25,,349631,620,Salaried,0
32,40953,275019,532,Salaried,0
46,96919,476577,736,Salaried,1
54,134682,333367,832,Salaried,1
34,141041,122930,702,Salaried,0
46,87889,195128,352,,0
47,43821,340524,612,Salaried,0
29,,338179,580,Salaried,0
46,135374,342764,330,Unemployed,0
42,44860,463093,636,Salaried,0
50,41195,306553,482,Salaried,0
37,97475,498532,322,Unemployed,0
46,110874,245113,843,Salaried,1
56,107266,429504,745,Salaried,0
21,41427,103352,373,Salaried,0
28,,474127,309,Salaried,0
55,47083,213856,783,Self-Employed,0
35,107046,53191,755,Unemployed,0
42,77372,476376,865,Salaried,1
34,143786,402680,863,Self-Employed,1
46,64064,154576,459,,0
48,27813,245713,313,Salaried,0
43,51598,492939,477,Self-Employed,0
34,132718,53631,711,Salaried,1
44,146879,187244,352,Salaried,0
22,113106,354224,707,Salaried,1
46,47082,270169,321,Salaried,0
34,49241,140353,329,Salaried,0
27,116214,463497,559,Unemployed,1
23,64569,78671,504,Salaried,0
43,31745,172811,358,,0
38,46029,232503,770,Salaried,0
58,33025,271972,765,Self-Employed,0
55,121660,303211,311,Self-Employed,0
35,143395,439878,589,Self-Employed,0
45,34288,274033,653,Self-Employed,0
57,,471818,374,Unemployed,0
48,26540,269861,860,Salaried,0
30,117768,363543,890,Self-Employed,1
59,101958,204544,740,Unemployed,0
37,88878,230302,540,Unemployed,0
59,61846,57099,453,Unemployed,0
42,121148,299686,395,Salaried,0
46,95932,468647,593,Salaried,0
45,37482,106492,508,Salaried,0
37,43411,146722,642,Self-Employed,0
33,70975,490900,387,Salaried,0
40,,80111,689,,1
45,132302,113936,624,Unemployed,0
24,98797,203686,456,,0
30,72307,273332,876,Unemployed,0
23,23093,485207,436,Salaried,0
38,97258,251548,727,Salaried,1
56,42042,299031,751,Salaried,0
42,,373064,440,Self-Employed,0
54,137584,113530,382,Salaried,0
28,64413,479440,476,Salaried,0
39,133387,319932,497,Unemployed,0
57,,78082,867,Salaried,1
26,117883,435431,720,Self-Employed,1
46,53756,139570,700,Self-Employed,1
54,73268,151015,770,Salaried,1
26,59214,257888,517,Self-Employed,0
57,101871,395732,474,Salaried,0
53,147844,197603,322,Self-Employed,0
42,48602,400484,534,Salaried,0
41,73331,144439,312,Self-Employed,0
26,68901,488073,400,Salaried,0
26,119986,191214,835,Self-Employed,1
24,83416,165053,822,Salaried,1
50,52196,98355,751,Salaried,1
